Item_ID,Item_Name,Category,Current_Stock,Minimum_Required,Unit_Price_USD,Expiration_Date,LASA_Warning
ITM-1001,Surgical Masks - Batch 654,Consumables,268,58,32.09,2028-02-07,False
ITM-1002,Syringe 5mL - Batch 964,Consumables,193,24,16.42,2026-08-17,False
ITM-1003,Syringe 10mL - Batch 711,Consumables,236,62,48.87,2026-10-22,False
ITM-1004,IV Cannula 20G - Batch 899,Consumables,269,52,14.29,2026-07-03,False
ITM-1005,Gauze Sponges 4x4 - Batch 583,Consumables,99,69,41.98,2026-04-23,False
ITM-1006,Lidocaine 1% - Batch 136,Medication,369,100,39.02,2026-04-26,True
ITM-1007,Lidocaine 2% - Batch 676,Medication,316,54,47.39,2027-02-15,True
ITM-1008,Epinephrine 1:1000 - Batch 958,Medication,476,27,30.79,2027-08-09,True
ITM-1009,Ephedrine 50mg - Batch 590,Medication,68,38,2.6,2027-11-26,True
ITM-1010,Saline Solution 0.9% 500ml - Batch 320,Fluids,197,92,38.93,2026-07-06,False
ITM-1011,Dextrose 5% 500ml - Batch 768,Fluids,169,84,22.74,2026-07-31,False
ITM-1012,Suture Silk 3-0 - Batch 176,Surgical,335,89,17.1,2026-09-27,False
ITM-1013,Scalpel Blades #10 - Batch 987,Surgical,111,87,11.39,2027-12-19,False
ITM-1014,Alcohol Prep Pads - Batch 476,Consumables,180,82,1.84,2027-07-25,False
ITM-1015,Bandages 2 inch - Batch 951,Consumables,484,73,29.62,2028-02-12,False
ITM-1016,Dopamine 400mg - Batch 240,Medication,207,77,38.91,2026-09-30,True
ITM-1017,Dobutamine 250mg - Batch 814,Medication,27,88,6.63,2027-04-22,True
ITM-1018,Insulin Regular - Batch 613,Medication,13,94,42.99,2027-10-08,True
ITM-1019,Insulin Glargine - Batch 551,Medication,490,88,44.84,2026-12-31,True
ITM-1020,"Nitrile Gloves, Size M - Batch 959",Consumables,163,55,9.59,2027-09-06,False
ITM-1021,Surgical Masks - Batch 752,Consumables,130,74,27.89,2027-02-28,False
ITM-1022,Syringe 5mL - Batch 888,Consumables,356,37,44.86,2026-12-05,False
